date,sex,ethnicity,abs,rate
2003-01-01,female,bumi_malay,134761.0,21.7
2004-01-01,female,bumi_malay,134715.0,21.2
2005-01-01,female,bumi_malay,132209.0,20.5
2006-01-01,female,bumi_malay,132241.0,20.1
2007-01-01,female,bumi_malay,134827.0,20.1
2008-01-01,female,bumi_malay,139113.0,20.4
2009-01-01,female,bumi_malay,146015.0,21.0
2010-01-01,female,bumi_malay,142138.0,20.0
2011-01-01,female,bumi_malay,150453.0,20.8
2012-01-01,female,bumi_malay,152157.0,20.7
2013-01-01,female,bumi_malay,150747.0,20.2
2014-01-01,female,bumi_malay,159749.0,21.1
2015-01-01,female,bumi_malay,161262.0,20.9
2016-01-01,female,bumi_malay,160008.0,20.4
2017-01-01,female,bumi_malay,162641.0,20.4
2018-01-01,female,bumi_malay,161345.0,19.9
2019-01-01,female,bumi_malay,155600.0,18.9
2020-01-01,female,bumi_malay,150855.0,18.1
2021-01-01,female,bumi_malay,147548.0,17.3
2022-01-01,female,bumi_malay,141022.0,16.4
2023-01-01,male,bumi_malay,158185.0,17.7
2023-01-01,female,bumi_malay,147309.0,16.9
2000-01-01,both,bumi_other,60498.0,23.6
2001-01-01,both,bumi_other,59867.0,22.7
2002-01-01,both,bumi_other,59373.0,22.0
2003-01-01,both,bumi_other,58596.0,21.1
2004-01-01,both,bumi_other,59916.0,21.1
2005-01-01,both,bumi_other,60498.0,20.7
2006-01-01,both,bumi_other,60267.0,20.1
2007-01-01,both,bumi_other,60287.0,19.5
2008-01-01,both,bumi_other,63395.0,20.0
2009-01-01,both,bumi_other,65581.0,20.1
2010-01-01,both,bumi_other,64510.0,19.2
2011-01-01,both,bumi_other,67429.0,19.8
2012-01-01,both,bumi_other,68631.0,19.8
2013-01-01,both,bumi_other,66129.0,18.7
2014-01-01,both,bumi_other,67428.0,18.8
2015-01-01,both,bumi_other,66050.0,18.2
2016-01-01,both,bumi_other,63977.0,17.3
2017-01-01,both,bumi_other,64183.0,17.2
2018-01-01,both,bumi_other,64076.0,16.9
2019-01-01,both,bumi_other,63627.0,16.6
2020-01-01,both,bumi_other,61504.0,16.5
2021-01-01,both,bumi_other,52520.0,14.4
2022-01-01,both,bumi_other,52928.0,14.4
2023-01-01,both,bumi_other,57608.0,15.5
2000-01-01,male,bumi_other,31132.0,24.0
2001-01-01,male,bumi_other,30995.0,23.3
2002-01-01,male,bumi_other,30844.0,22.6
2003-01-01,male,bumi_other,30411.0,21.7
2004-01-01,male,bumi_other,31055.0,21.6
2005-01-01,male,bumi_other,31221.0,21.1
2006-01-01,male,bumi_other,31251.0,20.5
2007-01-01,male,bumi_other,31070.0,19.9
2008-01-01,male,bumi_other,33088.0,20.6
